"Lemma","URL","Wortart","Genus","Artikel","nur_im_Plural"
"&","https://www.dwds.de/wb/%26","Symbol","","","0"
"ab","https://www.dwds.de/wb/ab#1","Präposition","","","0"
"Abend","https://www.dwds.de/wb/Abend","Substantiv","mask.","der","0"
"aber","https://www.dwds.de/wb/aber#1","Konjunktion","","","0"
"abfahren","https://www.dwds.de/wb/abfahren","Verb","","","0"
"Abfahrt","https://www.dwds.de/wb/Abfahrt","Substantiv","fem.","die","0"
"abfliegen","https://www.dwds.de/wb/abfliegen","Verb","","","0"
"Abflug","https://www.dwds.de/wb/Abflug","Substantiv","mask.","der","0"
"abgeben","https://www.dwds.de/wb/abgeben","Verb","","","0"
"abholen","https://www.dwds.de/wb/abholen","Verb","","","0"
"Absender","https://www.dwds.de/wb/Absender","Substantiv","mask.","der","0"
"acht","https://www.dwds.de/wb/acht","Kardinalzahl","","","0"
"Achtung","https://www.dwds.de/wb/Achtung","Substantiv","fem.","die","0"
"achtzehn","https://www.dwds.de/wb/achtzehn","Kardinalzahl","","","0"
"achtzig","https://www.dwds.de/wb/achtzig","Kardinalzahl","","","0"
"Adresse","https://www.dwds.de/wb/Adresse","Substantiv","fem.","die","0"
"all","https://www.dwds.de/wb/all","","","","0"
"alle","https://www.dwds.de/wb/alle#2","Pronomen","","","0"
"allein","https://www.dwds.de/wb/allein","","","","0"
"alleine","https://www.dwds.de/wb/alleine","","","","0"
"alles","https://www.dwds.de/wb/alles","Pronomen","","","0"
"also","https://www.dwds.de/wb/also#1","Konjunktion","","","0"
"alt","https://www.dwds.de/wb/alt","Adjektiv","","","0"
"Alter","https://www.dwds.de/wb/Alter","Substantiv","neutr.","das","0"
"am","https://www.dwds.de/wb/am","Präposition + Artikel","","","0"
"an","https://www.dwds.de/wb/an#1","Präposition","","","0"
"an","https://www.dwds.de/wb/an#2","Adverb","","","0"
"anbieten","https://www.dwds.de/wb/anbieten","Verb","","","0"
"ander","https://www.dwds.de/wb/ander","Indefinitpronomen","","","0"
"Anfang","https://www.dwds.de/wb/Anfang","Substantiv","mask.","der","0"
"anfangen","https://www.dwds.de/wb/anfangen","Verb","","","0"
"Angebot","https://www.dwds.de/wb/Angebot","Substantiv","neutr.","das","0"
"anklicken","https://www.dwds.de/wb/anklicken","Verb","","","0"
"ankommen","https://www.dwds.de/wb/ankommen","Verb","","","0"
"ankreuzen","https://www.dwds.de/wb/ankreuzen","Verb","","","0"
"Ankunft","https://www.dwds.de/wb/Ankunft","Substantiv","fem.","die","0"
"anmachen","https://www.dwds.de/wb/anmachen","Verb","","","0"
"anmelden","https://www.dwds.de/wb/anmelden","Verb","","","0"
"Anmeldung","https://www.dwds.de/wb/Anmeldung","Substantiv","fem.","die","0"
"Anrede","https://www.dwds.de/wb/Anrede","Substantiv","fem.","die","0"
"Anruf","https://www.dwds.de/wb/Anruf","Substantiv","mask.","der","0"
"Anrufbeantworter","https://www.dwds.de/wb/Anrufbeantworter","Substantiv","mask.","der","0"
"anrufen","https://www.dwds.de/wb/anrufen","Verb","","","0"
"Ansage","https://www.dwds.de/wb/Ansage","Substantiv","fem.","die","0"
"Anschluss","https://www.dwds.de/wb/Anschluss","Substantiv","mask.","der","0"
"Antwort","https://www.dwds.de/wb/Antwort","Substantiv","fem.","die","0"
"antworten","https://www.dwds.de/wb/antworten","Verb","","","0"
"Anzeige","https://www.dwds.de/wb/Anzeige","Substantiv","fem.","die","0"
"anziehen","https://www.dwds.de/wb/anziehen","Verb","","","0"
"Apartment","https://www.dwds.de/wb/Apartment","Substantiv","neutr.","das","0"
"Apfel","https://www.dwds.de/wb/Apfel","Substantiv","mask.","der","0"
"Appartement","https://www.dwds.de/wb/Appartement","Substantiv","neutr.","das","0"
"Appetit","https://www.dwds.de/wb/Appetit","Substantiv","mask.","der","0"
"April","https://www.dwds.de/wb/April","Substantiv","mask.","der","0"
"Arbeit","https://www.dwds.de/wb/Arbeit","Substantiv","fem.","die","0"
"arbeiten","https://www.dwds.de/wb/arbeiten","Verb","","","0"
"arbeitslos","https://www.dwds.de/wb/arbeitslos","Adjektiv","","","0"
"Arbeitsplatz","https://www.dwds.de/wb/Arbeitsplatz","Substantiv","mask.","der","0"
"Arm","https://www.dwds.de/wb/Arm","Substantiv","mask.","der","0"
"Arzt","https://www.dwds.de/wb/Arzt","Substantiv","mask.","der","0"
"auch","https://www.dwds.de/wb/auch","Konjunktion","","","0"
"auf","https://www.dwds.de/wb/auf#1","Präposition","","","0"
"auf sein","https://www.dwds.de/wb/auf%20sein","Verb","","","0"
"Aufgabe","https://www.dwds.de/wb/Aufgabe","Substantiv","fem.","die","0"
"aufhören","https://www.dwds.de/wb/aufh%C3%B6ren","Verb","","","0"
"aufstehen","https://www.dwds.de/wb/aufstehen","Verb","","","0"
"Aufzug","https://www.dwds.de/wb/Aufzug","Substantiv","mask.","der","0"
"Auge","https://www.dwds.de/wb/Auge","Substantiv","neutr.","das","0"
"August","https://www.dwds.de/wb/August#1","Substantiv","mask.","der","0"
"aus","https://www.dwds.de/wb/aus#1","Präposition","","","0"
"aus sein","https://www.dwds.de/wb/aus%20sein","Verb","","","0"
"Ausflug","https://www.dwds.de/wb/Ausflug","Substantiv","mask.","der","0"
"ausfüllen","https://www.dwds.de/wb/ausf%C3%BCllen","Verb","","","0"
"Ausgang","https://www.dwds.de/wb/Ausgang","Substantiv","mask.","der","0"
"Auskunft","https://www.dwds.de/wb/Auskunft","Substantiv","fem.","die","0"
"Ausland","https://www.dwds.de/wb/Ausland","Substantiv","neutr.","das","0"
"Ausländer","https://www.dwds.de/wb/Ausl%C3%A4nder","Substantiv","mask.","der","0"
"ausländisch","https://www.dwds.de/wb/ausl%C3%A4ndisch","Adjektiv","","","0"
"ausmachen","https://www.dwds.de/wb/ausmachen","Verb","","","0"
"Aussage","https://www.dwds.de/wb/Aussage","Substantiv","fem.","die","0"
"aussehen","https://www.dwds.de/wb/aussehen","Verb","","","0"
"aussteigen","https://www.dwds.de/wb/aussteigen","Verb","","","0"
"Ausweis","https://www.dwds.de/wb/Ausweis","Substantiv","mask.","der","0"
"ausziehen","https://www.dwds.de/wb/ausziehen","Verb","","","0"
"Auto","https://www.dwds.de/wb/Auto","Substantiv","neutr.","das","0"
"Autobahn","https://www.dwds.de/wb/Autobahn","Substantiv","fem.","die","0"
"Automat","https://www.dwds.de/wb/Automat","Substantiv","mask.","der","0"
"automatisch","https://www.dwds.de/wb/automatisch","Adjektiv","","","0"
"Baby","https://www.dwds.de/wb/Baby","Substantiv","neutr.","das","0"
"Bad","https://www.dwds.de/wb/Bad","Substantiv","neutr.","das","0"
"baden","https://www.dwds.de/wb/baden","Verb","","","0"
"Bahn","https://www.dwds.de/wb/Bahn","Substantiv","fem.","die","0"
"Bahnhof","https://www.dwds.de/wb/Bahnhof","Substantiv","mask.","der","0"
"Bahnsteig","https://www.dwds.de/wb/Bahnsteig","Substantiv","mask.","der","0"
"bald","https://www.dwds.de/wb/bald","Adverb","","","0"
"Balkon","https://www.dwds.de/wb/Balkon","Substantiv","mask.","der","0"
"Banane","https://www.dwds.de/wb/Banane","Substantiv","fem.","die","0"
"Bank","https://www.dwds.de/wb/Bank#1","Substantiv","fem.","die","0"
"Bank","https://www.dwds.de/wb/Bank#2","Substantiv","fem.","die","0"
"bar","https://www.dwds.de/wb/bar#1","Adjektiv","","","0"
"Bauch","https://www.dwds.de/wb/Bauch","Substantiv","mask.","der","0"
"Baum","https://www.dwds.de/wb/Baum","Substantiv","mask.","der","0"
"Beamte","https://www.dwds.de/wb/Beamte","Substantiv","mask., fem.","der, die","0"
"bedeuten","https://www.dwds.de/wb/bedeuten","Verb","","","0"
"beginnen","https://www.dwds.de/wb/beginnen","Verb","","","0"
"bei","https://www.dwds.de/wb/bei#1","Präposition","","","0"
"beide","https://www.dwds.de/wb/beide","","","","0"
"Bein","https://www.dwds.de/wb/Bein","Substantiv","neutr.","das","0"
"Beispiel","https://www.dwds.de/wb/Beispiel","Substantiv","neutr.","das","0"
"bekannt","https://www.dwds.de/wb/bekannt","partizipiales Adjektiv","","","0"
"Bekannte","https://www.dwds.de/wb/Bekannte","Substantiv","fem., mask.","die, der","0"
"bekommen","https://www.dwds.de/wb/bekommen","Verb","","","0"
"benutzen","https://www.dwds.de/wb/benutzen","Verb","","","0"
"Beruf","https://www.dwds.de/wb/Beruf","Substantiv","mask.","der","0"
"besetzt","https://www.dwds.de/wb/besetzt","partizipiales Adjektiv","","","0"
"besichtigen","https://www.dwds.de/wb/besichtigen","Verb","","","0"
"besser","https://www.dwds.de/wb/besser","Komparativ","","","0"
"best","https://www.dwds.de/wb/best","Superlativ","","","0"
"bestellen","https://www.dwds.de/wb/bestellen","Verb","","","0"
"besuchen","https://www.dwds.de/wb/besuchen","Verb","","","0"
"Bett","https://www.dwds.de/wb/Bett","Substantiv","neutr.","das","0"
"bezahlen","https://www.dwds.de/wb/bezahlen","Verb","","","0"
"Bier","https://www.dwds.de/wb/Bier","Substantiv","neutr.","das","0"
"Bild","https://www.dwds.de/wb/Bild","Substantiv","neutr.","das","0"
"billig","https://www.dwds.de/wb/billig","Adjektiv","","","0"
"Birne","https://www.dwds.de/wb/Birne","Substantiv","fem.","die","0"
"bis","https://www.dwds.de/wb/bis","","","","0"
"bisschen","https://www.dwds.de/wb/bisschen","Adverb","","","0"
"Bitte","https://www.dwds.de/wb/Bitte","Substantiv","fem.","die","0"
"bitte","https://www.dwds.de/wb/bitte","","","","0"
"bitten","https://www.dwds.de/wb/bitten","Verb","","","0"
"bitter","https://www.dwds.de/wb/bitter","Adjektiv","","","0"
"blau","https://www.dwds.de/wb/blau","Adjektiv","","","0"
"bleiben","https://www.dwds.de/wb/bleiben","Verb","","","0"
"Bleistift","https://www.dwds.de/wb/Bleistift","Substantiv","mask.","der","0"
"Blick","https://www.dwds.de/wb/Blick#1","Substantiv","mask.","der","0"
"Blume","https://www.dwds.de/wb/Blume","Substantiv","fem.","die","0"
"Bogen","https://www.dwds.de/wb/Bogen#2","Substantiv","mask.","der","0"
"brauchen","https://www.dwds.de/wb/brauchen","Verb","","","0"
"braun","https://www.dwds.de/wb/braun","Adjektiv","","","0"
"breit","https://www.dwds.de/wb/breit","Adjektiv","","","0"
"Brief","https://www.dwds.de/wb/Brief","Substantiv","mask.","der","0"
"Briefmarke","https://www.dwds.de/wb/Briefmarke","Substantiv","fem.","die","0"
"bringen","https://www.dwds.de/wb/bringen","Verb","","","0"
"Brot","https://www.dwds.de/wb/Brot","Substantiv","neutr.","das","0"
"Bruder","https://www.dwds.de/wb/Bruder","Substantiv","mask.","der","0"
"Brötchen","https://www.dwds.de/wb/Br%C3%B6tchen","Substantiv","neutr.","das","0"
"Buch","https://www.dwds.de/wb/Buch","Substantiv","neutr.","das","0"
"Buchstabe","https://www.dwds.de/wb/Buchstabe","Substantiv","mask.","der","0"
"buchstabieren","https://www.dwds.de/wb/buchstabieren","Verb","","","0"
"Bus","https://www.dwds.de/wb/Bus","Substantiv","mask.","der","0"
"Butter","https://www.dwds.de/wb/Butter","Substantiv","fem., mask.","die","0"
"Bäckerei","https://www.dwds.de/wb/B%C3%A4ckerei","Substantiv","fem.","die","0"
"bös","https://www.dwds.de/wb/b%C3%B6s","Adjektiv","","","0"
"böse","https://www.dwds.de/wb/b%C3%B6se","Adjektiv","","","0"
"Café","https://www.dwds.de/wb/Caf%C3%A9","Substantiv","neutr.","das","0"
"CD","https://www.dwds.de/wb/CD#1","Substantiv","fem.","die","0"
"Cent","https://www.dwds.de/wb/Cent","Substantiv","mask.","der","0"
"Chef","https://www.dwds.de/wb/Chef","Substantiv","mask.","der","0"
"circa","https://www.dwds.de/wb/circa","Adverb","","","0"
"cm","https://www.dwds.de/wb/cm","Symbol","","","0"
"Computer","https://www.dwds.de/wb/Computer","Substantiv","mask.","der","0"
"da","https://www.dwds.de/wb/da#1","Adverb","","","0"
"da","https://www.dwds.de/wb/da#2","Konjunktion","","","0"
"daneben","https://www.dwds.de/wb/daneben","Pronominaladverb","","","0"
"Dank","https://www.dwds.de/wb/Dank","Substantiv","mask.","der","0"
"danke","https://www.dwds.de/wb/danke","Interjektion","","","0"
"danken","https://www.dwds.de/wb/danken","Verb","","","0"
"dann","https://www.dwds.de/wb/dann","Adverb","","","0"
"das","https://www.dwds.de/wb/das#1","bestimmter Artikel","neutr.","","0"
"Datum","https://www.dwds.de/wb/Datum","Substantiv","neutr.","das","0"
"dauern","https://www.dwds.de/wb/dauern#1","Verb","","","0"
"dein","https://www.dwds.de/wb/dein#1","Possessivpronomen","","","0"
"denn","https://www.dwds.de/wb/denn#1","Konjunktion","","","0"
"der","https://www.dwds.de/wb/der#1","bestimmter Artikel","mask.","","0"
"deutsch","https://www.dwds.de/wb/deutsch","Adjektiv","","","0"
"Deutsche","https://www.dwds.de/wb/Deutsche#2","Substantiv","fem., mask.","die, der","0"
"Deutschland","https://www.dwds.de/wb/Deutschland","Eigenname","neutr.","das","0"
"Dezember","https://www.dwds.de/wb/Dezember","Substantiv","mask.","der","0"
"dich","https://www.dwds.de/wb/dich","Pronomen","","","0"
"die","https://www.dwds.de/wb/die#1","bestimmter Artikel","fem.","","0"
"Dienstag","https://www.dwds.de/wb/Dienstag","Substantiv","mask.","der","0"
"dir","https://www.dwds.de/wb/dir","Pronomen","","","0"
"Doktor","https://www.dwds.de/wb/Doktor","Substantiv","mask.","der","0"
"Donnerstag","https://www.dwds.de/wb/Donnerstag","Substantiv","mask.","der","0"
"Doppelzimmer","https://www.dwds.de/wb/Doppelzimmer","Substantiv","neutr.","das","0"
"Dorf","https://www.dwds.de/wb/Dorf","Substantiv","neutr.","das","0"
"dort","https://www.dwds.de/wb/dort","Adverb","","","0"
"draußen","https://www.dwds.de/wb/drau%C3%9Fen","Adverb","","","0"
"drei","https://www.dwds.de/wb/drei","Kardinalzahl","","","0"
"dreizehn","https://www.dwds.de/wb/dreizehn","Kardinalzahl","","","0"
"dreißig","https://www.dwds.de/wb/drei%C3%9Fig","Kardinalzahl","","","0"
"dritte","https://www.dwds.de/wb/dritte","Ordinalzahl","","","0"
"drucken","https://www.dwds.de/wb/drucken","Verb","","","0"
"Drucker","https://www.dwds.de/wb/Drucker","Substantiv","mask.","der","0"
"drücken","https://www.dwds.de/wb/dr%C3%BCcken","Verb","","","0"
"durch","https://www.dwds.de/wb/durch#1","Präposition","","","0"
"Durchsage","https://www.dwds.de/wb/Durchsage","Substantiv","fem.","die","0"
"Durst","https://www.dwds.de/wb/Durst","Substantiv","mask.","der","0"
"Dusche","https://www.dwds.de/wb/Dusche","Substantiv","fem.","die","0"
"duschen","https://www.dwds.de/wb/duschen","Verb","","","0"
"dürfen","https://www.dwds.de/wb/d%C3%BCrfen","Verb","","","0"
"E-Mail","https://www.dwds.de/wb/E-Mail","Substantiv","fem., neutr.","die","0"
"Ecke","https://www.dwds.de/wb/Ecke","Substantiv","fem.","die","0"
"Ehefrau","https://www.dwds.de/wb/Ehefrau","Substantiv","fem.","die","0"
"Ehemann","https://www.dwds.de/wb/Ehemann","Substantiv","mask.","der","0"
"Ei","https://www.dwds.de/wb/Ei","Substantiv","neutr.","das","0"
"eilig","https://www.dwds.de/wb/eilig","Adjektiv","","","0"
"ein","https://www.dwds.de/wb/ein#1","","","","0"
"eine","https://www.dwds.de/wb/eine","","","","0"
"einfach","https://www.dwds.de/wb/einfach#1","Adjektiv","","","0"
"einfach","https://www.dwds.de/wb/einfach#2","Adjektiv","","","0"
"Eingang","https://www.dwds.de/wb/Eingang","Substantiv","mask.","der","0"
"einhundert","https://www.dwds.de/wb/einhundert","Kardinalzahl","","","0"
"einkaufen","https://www.dwds.de/wb/einkaufen","Verb","","","0"
"einladen","https://www.dwds.de/wb/einladen#2","Verb","","","0"
"Einladung","https://www.dwds.de/wb/Einladung","Substantiv","fem.","die","0"
"eins","https://www.dwds.de/wb/eins","Kardinalzahl","","","0"
"einsteigen","https://www.dwds.de/wb/einsteigen","Verb","","","0"
"eintausend","https://www.dwds.de/wb/eintausend","Kardinalzahl","","","0"
"Eintritt","https://www.dwds.de/wb/Eintritt","Substantiv","mask.","der","0"
"Einzelzimmer","https://www.dwds.de/wb/Einzelzimmer","Substantiv","neutr.","das","0"
"elf","https://www.dwds.de/wb/elf","Kardinalzahl","","","0"
"Eltern","https://www.dwds.de/wb/Eltern","Substantiv","","","1"
"empfehlen","https://www.dwds.de/wb/empfehlen","Verb","","","0"
"Empfänger","https://www.dwds.de/wb/Empf%C3%A4nger","Substantiv","mask.","der","0"
"Ende","https://www.dwds.de/wb/Ende","Substantiv","neutr.","das","0"
"enden","https://www.dwds.de/wb/enden","Verb","","","0"
"entschuldigen","https://www.dwds.de/wb/entschuldigen","Verb","","","0"
"Entschuldigung","https://www.dwds.de/wb/Entschuldigung","Substantiv","fem.","die","0"
"er","https://www.dwds.de/wb/er","Personalpronomen","mask.","","0"
"Ergebnis","https://www.dwds.de/wb/Ergebnis","Substantiv","neutr.","das","0"
"erklären","https://www.dwds.de/wb/erkl%C3%A4ren","Verb","","","0"
"erlauben","https://www.dwds.de/wb/erlauben","Verb","","","0"
"erste","https://www.dwds.de/wb/erste","Ordinalzahl","","","0"
"Erwachsene","https://www.dwds.de/wb/Erwachsene","Substantiv","fem., mask.","die, der","0"
"erzählen","https://www.dwds.de/wb/erz%C3%A4hlen","Verb","","","0"
"es","https://www.dwds.de/wb/es#1","Personalpronomen","neutr.","","0"
"Essen","https://www.dwds.de/wb/Essen","Substantiv","neutr.","das","0"
"essen","https://www.dwds.de/wb/essen","Verb","","","0"
"euer","https://www.dwds.de/wb/euer#1","Possessivpronomen","","","0"
"Euro","https://www.dwds.de/wb/Euro#1","Substantiv","mask.","der","0"
"Europa","https://www.dwds.de/wb/Europa","Eigenname","","","0"
"Europäer","https://www.dwds.de/wb/Europ%C3%A4er","Substantiv","mask.","der","0"
"europäisch","https://www.dwds.de/wb/europ%C3%A4isch","Adjektiv","","","0"
"fahren","https://www.dwds.de/wb/fahren","Verb","","","0"
"Fahrer","https://www.dwds.de/wb/Fahrer","Substantiv","mask.","der","0"
"Fahrkarte","https://www.dwds.de/wb/Fahrkarte","Substantiv","fem.","die","0"
"Fahrrad","https://www.dwds.de/wb/Fahrrad","Substantiv","neutr.","das","0"
"falsch","https://www.dwds.de/wb/falsch","Adjektiv","","","0"
"Familie","https://www.dwds.de/wb/Familie","Substantiv","fem.","die","0"
"Familienname","https://www.dwds.de/wb/Familienname","Substantiv","mask.","der","0"
"Familienstand","https://www.dwds.de/wb/Familienstand","Substantiv","mask.","der","0"
"Farbe","https://www.dwds.de/wb/Farbe","Substantiv","fem.","die","0"
"Fax","https://www.dwds.de/wb/Fax","Substantiv","neutr.","das","0"
"Februar","https://www.dwds.de/wb/Februar","Substantiv","mask.","der","0"
"fehlen","https://www.dwds.de/wb/fehlen#1","Verb","","","0"
"Fehler","https://www.dwds.de/wb/Fehler","Substantiv","mask.","der","0"
"Feierabend","https://www.dwds.de/wb/Feierabend","Substantiv","mask.","der","0"
"feiern","https://www.dwds.de/wb/feiern","Verb","","","0"
"Feiertag","https://www.dwds.de/wb/Feiertag","Substantiv","mask.","der","0"
"fernsehen","https://www.dwds.de/wb/fernsehen","Verb","","","0"
"fertig","https://www.dwds.de/wb/fertig","Adjektiv","","","0"
"Feuer","https://www.dwds.de/wb/Feuer","Substantiv","neutr.","das","0"
"Fieber","https://www.dwds.de/wb/Fieber","Substantiv","neutr.","das","0"
"Film","https://www.dwds.de/wb/Film","Substantiv","mask.","der","0"
"finden","https://www.dwds.de/wb/finden","Verb","","","0"
"Firma","https://www.dwds.de/wb/Firma","Substantiv","fem.","die","0"
"Fisch","https://www.dwds.de/wb/Fisch","Substantiv","mask.","der","0"
"Flasche","https://www.dwds.de/wb/Flasche","Substantiv","fem.","die","0"
"Fleisch","https://www.dwds.de/wb/Fleisch","Substantiv","neutr.","das","0"
"fliegen","https://www.dwds.de/wb/fliegen","Verb","","","0"
"Flughafen","https://www.dwds.de/wb/Flughafen","Substantiv","mask.","der","0"
"Flugzeug","https://www.dwds.de/wb/Flugzeug","Substantiv","neutr.","das","0"
"Formular","https://www.dwds.de/wb/Formular","Substantiv","neutr.","das","0"
