lemma,Artikel,Plural,Präteritum,Hilfsverb,PartizipII,plus
gehoben,,,,,,
Gehweg,der,-e,,,,
Geist,der,-er,,,,
geistig,,,,,,
Gelände,das,-,,,,
Geldbörse,die,-n,,,,
gelegentlich,,,,,,
Gelenkschmerzen,die,,,,,
gelungen,,,,,,
Gemälde,das,-,,,,
Gemälderaub,der,-e,,,,
gemein,,,,,,
Gemeinschaft,die,-en,,,,
Gemüsebeet,das,-e,,,,
Gemüsegeschäft,das,-e,,,,
Genauigkeit,die,Sg.,,,,
Genehmigung,die,-en,,,,
Generation,die,-en,,,,
Generationenwohnprojekt,das,-e,,,,
Genie,das,-s,,,,
genügend,,,,,,
Genuss,der,"""-e",,,,
Gepäckermittler/in,der/die,-/-nen,,,,
gepflegt,,,,,,
geprägt,,,,,,
geraten,,,geriet,ist,geraten,
Gerechtigkeitssinn,der,Sg.,,,,
Gericht,das,-e,,,,
Geringverdiener/in,der/die,-/-nen,,,,
Geruch,der,"""-e",,,,
Geruchssinn,der,Sg.,,,,
gesamt,,,,,,
Gesamtwiederholung,die,-en,,,,
Geschäftsbedingungen,die,,,,,
Geschäftsbeziehung,die,-en,,,,
Geschäftsführer/in,der/die,-/-nen,,,,
Geschäftsleitung,die,-en,,,,
Geschäftsmodell,das,-e,,,,
Geschäftsverhandlung,die,-en,,,,
Geschick,das,-e,,,,
geschützt,,,,,,
Gesellschaftskritik,die,Sg.,,,,
Gesetzesreform,die,-en,,,,
gesetzlich,,,,,,
gestalten,,,,,,
Geste,die,-n,,,,
gestehen,,,gestand,hat,gestanden,
gestresst,,,,,,
gesundheitlich,,,,,,
gesundheitsfördernd,,,,,,
Gesundheitsgerät,das,-e,,,,
geteilt,,,,,,
Getreide,das,-,,,,
Gewalt,die,-en,,,,
Gewaltübergriff,der,-e,,,,
Gewerkschaft,die,-en,,,,
Gewinner/in,der/die,-/-nen,,,,
Gewissen,das,Sg.,,,,
gewittern,,,,,,
Gewohnheit,die,-en,,,,
gewohnt sein,,,,,,
gezeichnet sein,,,,,,
Gießkanne,die,-n,,,,
Giraffe,die,-n,,,,
Gitter,das,-,,,,
glänzen,,,,,,
Glaseinsatz,der,"""-e",,,,
Glaserlehre,die,-n,,,,
Glashaus,das,"""-er",,,,
glaubhaft,,,,,,
gläubig,,,,,,
glaubwürdig,,,,,,
gleichberechtigt,,,,,,
gleichermaßen,,,,,,
gliedern,,,,,,
global,,,,,,
Goldbarren,der,-,,,,
golden,,,,,,
gönnen,,,,,,
Grab,das,"""-er",,,,
Graffiti,das,-s,,,,
Grafiker/in,der/die,-/-nen,,,,
grafisch,,,,,,
Gravitation,die,Sg.,,,,
greifen,,,griff,hat,gegriffen,
Grenze,die,-n,,,,
Grenze,die,-n,,,,
Grenzgebiet,das,-e,,,,
Grenzkontrolle,die,-n,,,,
Grenzöffnung,die,Sg.,,,,
Grenzsoldat/in,der/die,-en/-nen,,,,
Griff,der,-e,,,,
Grillmeister/in,der/die,-/-nen,,,,
Groll,der,-e,,,,
großformatig,,,,,,
Großraumbüro,das,-s,,,,
großteils,,,,,,
grübeln,,,,,,
Gründer/in,der/die,-/-nen,,,,
Grundlage,die,-n,,,,
gründlich,,,,,,
grundsätzlich,,,,,,
Gründung,die,-en,,,,
Grundvoraussetzung,die,-en,,,,
Grundwasser,das,Sg.,,,,
Gunst,die,"""-e",,,,
gütig,,,,,,
Gymnastik,die,Sg.,,,,
haben,,,hatte,hat,gehabt,
hageln,,,,,,
Hai,der,-e,,,,
halten,,,hielt,hat,gehalten,
Haltung,die,-en,,,,
Handbewegung,die,-en,,,,
Handelsbeziehung,die,-en,,,,
Handelsschule,die,-n,,,,
Handelsunternehmen,das,-,,,,
Handfläche,die,-n,,,,
Handwerk,das,Sg.,,,,
handwerklich,,,,,,
Handyvertrag,der,"""-e",,,,
hängen,,,hing,hat,gehangen,
hängen,,,hing,hat,gehangen,
Härte,die,Sg.,,,,
Hauptattraktion,die,-en,,,,
hauptberuflich,,,,,,
Hauptfigur,die,-en,,,,
Haupthandlung,die,Sg.,,,,
Hauptrolle,die,-n,,,,
hauptsächlich,,,,,,
Hauptthema,das,-themen,,,,
Hauptwerk,das,-e,,,,
Hausarzt,der,"""-e",,,,
Hausrat,der,Sg.,,,,
Hausverbot,das,-e,,,,
Hausverwaltung,die,-en,,,,
Hautcreme,die,-s,,,,
heben,,,hob,hat,gehoben,
heimisch,,,,,,
heiter,,,,,,
hektisch,,,,,,
Helfer/in,der/die,-/-nen,,,,
hemmen,,,,,,
heranführen,,,,,,
Herausforderung,die,-en,,,,
herstellen,,,,,,
herumschlagen,,,,,,
hervorragend,,,,,,
Herz,das,-en,,,,
Herzenswunsch,der,"""-e",,,,
Herzfrequenz,die,-en,,,,
Herzinfarkt,der,-e,,,,
Herzproblem,das,-e,,,,
Hieroglyphe,die,-n,,,,
hierzulande,,,,,,
Highlight,das,-s,,,,
hilfreich,,,,,,
Hilfsbereitschaft,die,Sg.,,,,
Hilfsorganisation,die,-en,,,,
Himmel,der,-,,,,
Himmel,der,-,,,,
hinaustragen,,,trug hinaus,hat,hinausgetragen,
hinauszögern,,,,,,
hinhören,,,,,,
hinnehmen,,,nahm hin,hat,hingenommen,
hinsehen,,,sah hin,hat,hingesehen,
hinterherhinken,,,,,,
Hinterhof,der,"""-e",,,,
hinterlassen,,,hinterließ,hat,hinterlassen,
Hinweis,der,-e,,,,
Hirn,das,-e,,,,
Hirnschaden,der,"""-",,,,
hitzig,,,,,,
Hoch,das,-s,,,,
Hochschulreife,die,Sg.,,,,
Hochtechnologie,die,-n,,,,
hofieren,,,,,,
Höflichkeit,die,-en,,,,
Hofzeremoniell,das,-e,,,,
Höhepunkt,der,-e,,,,
holen,,,,,,
Holzplatte,die,-n,,,,
Holztür,die,-en,,,,
Hommage,die,,,,,
Honorarprofessur,die,-en,,,,
Horizont,der,-e,,,,
Hörspiel,das,-e,,,,
Hosentasche,die,-n,,,,
Hundehütte,die,-n,,,,
Ich-Botschaft,die,-en,,,,
Ich-Erzähler/in,der/die,-/-nen,,,,
Identität,die,-en,,,,
Idiot/in,der/die,-en/-nen,,,,
ignorieren,,,,,,
immerwährend,,,,,,
Immobilie,die,-n,,,,
Immunsystem,das,-e,,,,
importieren,,,,,,
imposant,,,,,,
Inbegriff,der,-e,,,,
Indie-Pop,der,Sg.,,,,
infolge,,,,,,
Informant/in,der/die,-en/-nen,,,,
Informatik,die,Sg.,,,,
Informatiker/in,der/die,-/-nen,,,,
Informationsbeschaffung,die,Sg.,,,,
Informationsmaterial,das,-ien,,,,
informativ,,,,,,
infrage kommen,,,kam infrage,ist,infrage gekommen,
Infrastruktur,die,-en,,,,
Ingenieurwissenschaft,die,-en,,,,
inhaltlich,,,,,,
inhaltsleer,,,,,,
Inhaltspunkt,der,-e,,,,
Initiative,die,-n,,,,
initiieren,,,,,,
inmitten,,,,,,
Innenarchitektur,die,-en,,,,
Innovation,die,-en,,,,
insbesondere,,,,,,
Inspiration,die,-en,,,,
instinktiv,,,,,,
intakt,,,,,,
intellektuell,,,,,,
Intellektuelle,der/die,-n,,,,
interagieren,,,,,,
Interneteinkauf,der,"""-e",,,,
Internetmanagement,das,Sg.,,,,
Internetportal,das,-e,,,,
Internetredaktion,die,-en,,,,
intolerant,,,,,,
investieren,,,,,,
Investition,die,-en,,,,
irreal,,,,,,
irren,,,,,,
Isolation,die,-en,,,,
IT-Bereich,der,-,,,,
jedoch,,,,,,
jeglich,,,,,,
jetzig,,,,,,
jeweilig,,,,,,
Jobwechsel,der,-,,,,
Jugendbereich,der,-e,,,,
Jugendzeit,die,-en,,,,
Jura,,,,,,
Jurist/in,der/die,-en/-nen,,,,
Juryvorsitz,der,Sg.,,,,
Juweliergeschäft,das,-e,,,,
Kabarett,das,-s,,,,
Kabarettist/in,der/die,-en/-nen,,,,
Kader,der,-,,,,
Kaffeehaus,das,"""-er",,,,
Käfig,der,-e,,,,
kahl,,,,,,
Kaiser/in,der/die,-/-nen,,,,
kaiserlich,,,,,,
Kakerlake,die,-n,,,,
Kalkulation,die,-en,,,,
Kalorie,die,-n,,,,
Kamm,der,"""-e",,,,
Kampagne,die,-n,,,,
Kämpfer/in,der/die,-/-nen,,,,
Kampfkunst,die,"""-e",,,,
Kampfsport,der,Sg.,,,,
Kandidat/in,der/die,-en/-nen,,,,
Kanzler/in,der/die,-/-nen,,,,
Kanzlerkandidat/in,der/die,-en/-nen,,,,
Karriereplanung,die,-en,,,,
Kartoffelsuppe,die,-n,,,,
Kartrennen,das,-,,,,
katapultieren,,,,,,
katholisch,,,,,,
Kaufvertrag,der,"""-e",,,,
Kaution,die,-en,,,,
Keilschrift,die,-en,,,,
Keks,der,-e,,,,
Kenntnis,die,-se,,,,
kennzeichnen,,,,,,
kentern,,,,,,
Kfz-Betrieb,der,-e,,,,
Kickboxen,das,Sg.,,,,
Kids,die,,,,,
Kiefer,der,-,,,,
Kiez,der,-e,,,,
Kindererziehung,die,Sg.,,,,
kinderfeindlich,,,,,,
Kindergartenalter,das,Sg.,,,,
Kindergartenpflicht,die,Sg.,,,,
kinderleicht,,,,,,
kinderreich,,,,,,
Kinderwunsch,der,"""-e",,,,
Kinderzahl,die,-en,,,,
Kindesbein,das,-e,,,,
Kinofilm,der,-e,,,,
Kinokasse,die,-n,,,,
klagen,,,,,,
Klammer,die,-n,,,,
Klang,der,"""-e",,,,
klären,,,,,,
klarmachen,,,,,,
Klassenbeste,der/die,-n,,,,
klatschen,,,,,,
klauen,,,,,,
Klavierbauer/in,der/die,-/-nen,,,,
Kleiderausgabe,die,-n,,,,
Kleiderklappe,die,-n,,,,
Kleiderladen,der,"""-",,,,
Kleiderschrank,der,"""-e",,,,
Kleidungsstück,das,-e,,,,
Kleinkind,das,-er,,,,
Kleinkriminellenstudie,die,-n,,,,
Klick,der,-s,,,,
Klimazone,die,-n,,,,
Klischee,das,-s,,,,
klischeehaft,,,,,,
Knecht,der,-e,,,,
Kneipenbesitzer/in,der/die,-/-nen,,,,
knirschen,,,,,,
Knospe,die,-n,,,,
Know-how,das,-s,,,,
knüpfen,,,,,,
knurren,,,,,,
Koalition,die,-en,,,,
komfortabel,,,,,,
Komma,das,-s,,,,
kommen,,,kam,ist,gekommen,
kommen,,,kam,ist,gekommen,
kommen,,,kam,ist,gekommen,
kommen,,,kam,ist,gekommen,
kommen,,,kam,ist,gekommen,
kommen,,,kam,ist,gekommen,
kommentieren,,,,,,
kommerziell,,,,,,
Kommilitone/Kommilitonin,der/die,-n/-nen,,,,
Kommissar/in,der/die,-e/-nen,,,,
Kommunikationsfähigkeit,die,-en,,,,
Kommunikationsmittel,das,-,,,,
Kommunikationsmöglichkeit,die,-en,,,,
Kommunikationsstärke,die,-n,,,,
kommunizieren,,,,,,
Kompetenz,die,-en,,,,
komplex,,,,,,
Kompliment,das,-e,,,,
Komplize/Komplizin,der/die,-n/-nen,,,,
Komponist/in,der/die,-en/-nen,,,,
Konferenz,die,-en,,,,
konfiszieren,,,,,,
Konfliktlösung,die,-en,,,,
Konfliktpotential,das,-e,,,,
konfrontieren,,,,,,
Kongress,der,-e,,,,
Kongresskarte,die,-n,,,,
konkret,,,,,,
Konkurrenz,die,Sg.,,,,
konkurrenzfähig,,,,,,
Konsens,der,Sg.,,,,
konstant,,,,,,
konstruktiv,,,,,,
Konsument/in,der/die,-en/-nen,,,,
Kontakt,der,-e,,,,
Kontaktlinse,die,-n,,,,
Kontext,der,-e,,,,
kontinuierlich,,,,,,
Kontodaten,die,,,,,
Kontrollsystem,das,-e,,,,
Konzentration,die,Sg.,,,,
Konzentrationsleistung,die,-en,,,,
konzentriert,,,,,,
Konzept,das,-e,,,,
Konzept,das,-e,,,,
Konzeption,die,-en,,,,
Konzertpianist,der/die,-en/-nen,,,,
konzipieren,,,,,,
kooperativ,,,,,,
Koordination,die,Sg.,,,,
Körperdaten,die,,,,,
Körpergröße,die,-n,,,,
Körpersignal,das,-e,,,,
Körpersprache,die,Sg.,,,,
Körpertemperatur,die,-en,,,,
Korrektur,die,-en,,,,
Korruption,die,Sg.,,,,
kostengünstig,,,,,,
Kraftstoff,der,-e,,,,
Kraftwerk,das,-e,,,,
Krankenakte,die,-n,,,,
Krankenhausaufenthalt,der,-e,,,,
Krankenkasse,die,-n,,,,
Kreditkarte,die,-n,,,,
Kreditkartenbetrug,der,Sg.,,,,
kreieren,,,,,,
Krieger/in,der/die,-/-nen,,,,
kriminell,,,,,,
Kriterium,das,Kriterien,,,,
Kritik,die,-en,,,,
kritikfähig,,,,,,
Kritikfähigkeit,die,-en,,,,
Kritisierte,der/die,-n,,,,
Kühlfahrzeug,das,-e,,,,
Kühlraum,der,"""-e",,,,
Kühlsystem,das,-e,,,,
Kulturdenkmal,das,"""-er",,,,
Kulturwandel,der,-,,,,
Kundengespräch,das,-e,,,,
Kundenkontakt,der,-e,,,,
Kundenkonto,das,-konten,,,,
Kunstform,die,-en,,,,
Kunstikone,die,-n,,,,
Kunstraub,der,-e,,,,
Kunstturnen,das,Sg.,,,,
Kunstturner/in,der/die,-/-nen,,,,
Kunstwerk,das,-e,,,,
kurios,,,,,,
kursiv,,,,,,
kurzfristig,,,,,,
Kurzvortrag,der,"""-e",,,,
Label,das,-s,,,,
Laborkittel,der,-,,,,
Lächeln,das,-,,,,
Lage,die,-n,,,,
Lager,das,-,,,,
Lagerhaltung,die,-en,,,,
Landesgesetz,das,-e,,,,
Landessprache,die,-n,,,,
Längeneinheit,die,-en,,,,
längerfristig,,,,,,
Langeweile,die,Sg.,,,,
langfristig,,,,,,
Langlauf,der,Sg.,,,,
langlebig,,,,,,
Langspielfilm,der,-e,,,,
langwierig,,,,,,
Langzeitarbeitslose,der/die,-n,,,,
Last,die,-en,,,,
lästig,,,,,,
Lauf,der,"""-e",,,,
Laufbahn,die,-en,,,,
laufen,,,lief,ist,gelaufen,
Laus,die,"""-e",,,,
Laute,die,-n,,,,
Lautstärke,die,-n,,,,
Leben,das,-,,,,
Leben,das,-,,,,
lebendig,,,,,,
Lebensbedingung,die,-en,,,,
Lebensentwurf,der,"""-e",,,,
Lebenserwartung,die,-en,,,,
Lebensglück,das,Sg.,,,,
Lebensjahr,das,-e,,,,
Lebenskunst,die,"""-e",,,,
Lebenslage,die,-n,,,,
Lebensraum,der,"""-e",,,,
Lebensverlauf,der,"""-e",,,,
Lebensweg,der,-e,,,,
leeren,,,,,,
Lehrkraft,die,"""-e",,,,
leichtfallen,,,fiel leicht,ist,leichtgefallen,
Leinwand,die,"""-e",,,,
Leistungsbereitschaft,die,Sg.,,,,
Leistungsfähigkeit,die,Sg.,,,,
Leiter/in,der/die,-/-nen,,,,
Lektüre,die,-n,,,,
lenken,,,,,,
Lerneffekt,der,-e,,,,
Lernerfolg,der,-e,,,,
Lerninhalt,der,-e,,,,
Lernmaterial,das,-ien,,,,
Lernphase,die,-n,,,,
Lernstoff,der,-e,,,,
lesefreundlich,,,,,,
Leserbrief,der,-e,,,,
Lesetext,der,-e,,,,
leuchten,,,,,,
lexikalisch,,,,,,
Lexikonartikel,der,-,,,,
Liberalität,die,Sg.,,,,
Lichtsensor,der,-en,,,,
liebevoll,,,,,,
Liebling,der,-e,,,,
Lieferzeit,die,-en,,,,
liegen,,,lag,hat,gelegen,
Liegestütz,der,-e,,,,
Lifestyle,der,-s,,,,
limitiert,,,,,,
lindern,,,,,,
Linie,die,-n,,,,
Lippe,die,-n,,,,
Liste,die,-n,,,,
Lob,das,Sg.,,,,
locken,,,,,,
logisch,,,,,,
Lokführer/in,der/die,-/-nen,,,,
Lösegeld,das,-er,,,,
lösen,,,,,,
Lügengeschichte,die,-n,,,,
lukrativ,,,,,,
Lungenkrankheit,die,-en,,,,
Lyrik,die,Sg.,,,,
machen,,,,,,
machen,,,,,,
Macht,die,-en,,,,
machtlos,,,,,,
Machtwechsel,der,-,,,,
Macke,die,-n,,,,
Magd,die,"""-e",,,,
Magen,der,"""-",,,,
mahlen,,,,,,
Malerei,die,-en,,,,
Management,das,-s,,,,
Manager/in,der/die,-/-nen,,,,
Mandant/in,der/die,-en/-nen,,,,
mangelnd,,,,,,
manikürt,,,,,,
manipulieren,,,,,,
Manufaktur,die,-en,,,,
Markenunternehmen,das,-,,,,
Markt,der,"""-e",,,,
Markt,der,"""-e",,,,
Marktforschungsfirma,die,-firmen,,,,
Maskenbildner/in,der/die,-/-nen,,,,
Maß,das,-e,,,,
Massenflucht,die,-en,,,,
Massenprotest,der,-e,,,,
maßgeblich,,,,,,
mathematisch,,,,,,
Matratze,die,-n,,,,
Mauerfall,der,Sg.,,,,
Mauerritze,die,-n,,,,
mechanisch,,,,,,
meckern,,,,,,
Mediziner/in,der/die,-/-nen,,,,
Meerestiefe,die,-n,,,,
Meerestier,das,-e,,,,
mehrheitlich,,,,,,
Mehrsprachigkeit,die,Sg.,,,,
meiden,,,mied,hat,gemieden,
meinetwegen,,,,,,
Meinungsfreiheit,die,Sg.,,,,
Meisterschüler/in,der/die,-/-nen,,,,
Melancholie,die,Sg.,,,,
melancholisch,,,,,,
Melodram,das,-en,,,,
Menschenleben,das,-,,,,
Menschheit,die,Sg.,,,,
Merkformel,die,-n,,,,
Merkmal,das,-e,,,,
Messecatering,das,-s,,,,
Messegelände,das,-,,,,
Messehalle,die,-n,,,,
Messgerät,das,-e,,,,
Mietvertrag,der,"""-e",,,,
Migrantenfamilie,die,-n,,,,
Migrantenkind,das,-er,,,,
Migrationsdrama,das,-dramen,,,,
Migrationshintergrund,der,Sg.,,,,
Milchprodukt,das,-e,,,,
Milieu,das,-s,,,,
Militarisierung,die,-en,,,,
Mimik,die,-en,,,,
Mindestbestellwert,der,Sg.,,,,
Ministerpräsident/in,der/die,-en/-nen,,,,
Mischung,die,-en,,,,
Misserfolg,der,-e,,,,
missverständlich,,,,,,
missverstehen,,,missverstand,hat,missverstanden,
Mist,der,Sg.,,,,
Mitarbeit,die,Sg.,,,,
mitbestimmen,,,,,,
Mitbewohner/in,der/die,-/-nen,,,,
Mitinhaber/in,der/die,-/-nen,,,,
Mitleid,das,Sg.,,,,
Mitschrift,die,-en,,,,
Mitschüler/in,der/die,-/-nen,,,,
Mittagspause,die,-n,,,,
Mittagsschlaf,der,Sg.,,,,
Mittagsschläfchen,das,-,,,,
Mittelalter,das,Sg.,,,,
mittelalterlich,,,,,,
Mitternacht,die,Sg.,,,,
mittlerweile,,,,,,
mitverantwortlich,,,,,,
Mobilfunkanbieter,der,-,,,,
Mobilität,die,Sg.,,,,
Mode,die,-n,,,,
Moderator/in,der/die,-en/-nen,,,,
monolingual,,,,,,
Monoski,der,-s,,,,
Monoskibobfahrer/in,der/die,-/-nen,,,,
Monotonie,die,Sg.,,,,
Motiv,das,-e,,,,
motiviert,,,,,,
Motto,das,-s,,,,
Mücke,die,-n,,,,
müdegearbeitet,,,,,,
Mühe,die,-n,,,,
multikulturell,,,,,,
Murmeltier,das,-e,,,,
Musikant/in,der/die,-en/-nen,,,,
Musikgenie,das,-s,,,,
Musikkonzert,das,-e,,,,
Musikrichtung,die,-en,,,,
Musiktherapeut/in,der/die,-en/-nen,,,,
Musikunterricht,der,Sg.,,,,
Musikveranstaltung,die,-en,,,,
Muslim/in,der/die,-e/-nen,,,,
Muster,das,-,,,,
Musterklausur,die,-en,,,,
Muttersprachler/in,der/die,-/-nen,,,,
mythologisch,,,,,,
Mythos,der,Mythen,,,,
nachdenklich,,,,,,
Nachfrage,die,Sg.,,,,
nachgehen,,,ging nach,ist,nachgegangen,
nachhaken,,,,,,
Nachhilfestunde,die,-n,,,,
Nachmieter/in,der/die,-/-nen,,,,
Nachteule,die,-n,,,,
nachweisen,,,wies nach,hat,nachgewiesen,
Nachwuchs,der,Sg.,,,,
Nachwuchskraft,die,"""-e",,,,
Nagel,der,"""-",,,,
nagen,,,,,,
nahegelegen,,,,,,
Näher/in,der/die,-/-nen,,,,
Naht,die,"""-e",,,,
Nation,die,-en,,,,
Nationalfeiertag,der,-e,,,,
Nationalität,die,-en,,,,
Nationalmannschaft,die,-en,,,,
Nationalsozialismus,der,Sg.,,,,
Nationalsozialist/in,der/die,-en/-nen,,,,
Naturerscheinung,die,-en,,,,
Naturkatastrophe,die,-n,,,,
Naturwissenschaft,die,-en,,,,
naturwissenschaftlich,,,,,,
Nebenjob,der,-s,,,,
nehmen,,,nahm,hat,genommen,
nehmen,,,nahm,hat,genommen,
nehmen,,,nahm,hat,genommen,
Neid,der,Sg.,,,,
Nerv,der,-en,,,,
nerven,,,,,,
Nervenkitzel,der,-,,,,
Nervenzelle,die,-n,,,,
Nervosität,die,Sg.,,,,
netterweise,,,,,,
Neuerung,die,-en,,,,
Neugier,die,Sg.,,,,
Neukundengewinnung,die,Sg.,,,,
neulich,,,,,,
Neutralität,die,Sg.,,,,
Nichtschwimmer/in,der/die,-/-nen,,,,
nichtssagend,,,,,,
Nickerchen,das,-,,,,
Niederlage,die,-n,,,,
nieseln,,,,,,
Nobelpreis,der,-e,,,,
Nobelpreisträger/in,der/die,-/-nen,,,,
Nonsens,der,Sg.,,,,
nonverbal,,,,,,
Notizblock,der,"""-e",,,,
Notlage,die,-n,,,,
Notlüge,die,-n,,,,
Notruf,der,-e,,,,
Notversorgung,die,-en,,,,
Notwendigkeit,die,-en,,,,
Nummer,die,-n,,,,
nützlich,,,,,,
Oberarm,der,-e,,,,
Oberbegriff,der,-e,,,,
obgleich,,,,,,
obligatorisch,,,,,,
Odyssee,die,-n,,,,
Offenheit,die,Sg.,,,,
Öffentlichkeit,die,Sg.,,,,
Öffnung,die,-en,,,,
oftmals,,,,,,
ohnehin,,,,,,
Ohr,das,-en,,,,
Ökologe/Ökologin,der/die,-n/-nen,,,,
Oldtimer,der,-,,,,
Olivenöl,das,-e,,,,
Onlinebanking,das,Sg.,,,,
Onlineeinkauf,der,"""-e",,,,
Onlinesucht,die,Sg.,,,,
Optiker/in,der/die,-/-nen,,,,
optimieren,,,,,,
Option,die,-en,,,,
Orden,der,-,,,,
Organ,das,-e,,,,
Organisation,die,-en,,,,
Organisation,die,-en,,,,
Organismus,der,Organismen,,,,
orientiert,,,,,,
Orientierung,die,-en,,,,
Pädagoge/Pädagogin,der/die,-n/-nen,,,,
Palast,der,"""-e",,,,
Palmenhaus,das,"""-er",,,,
Panik,die,-en,,,,
Parallelwelt,die,-en,,,,
Parfümeur/in,der/die,-e/-nen,,,,
Parlament,das,-e,,,,
parodieren,,,,,,
Partei,die,-en,,,,
Parteivorsitz,der,-e,,,,
Parteivorsitzende,der/die,-n,,,,
Partie,die,-n,,,,
Partylöwe,der,-n,,,,
passioniert,,,,,,
Passwort,das,"""-er",,,,
Pate/Patin,der/die,-n/-nen,,,,
Patent,das,-e,,,,
pauschalisieren,,,,,,
Pazifismus,der,Sg.,,,,
peinlich,,,,,,
perfektionieren,,,,,,
Persönlichkeitstraining,das,Sg.,,,,
Pessimismus,der,Sg.,,,,
pessimistisch,,,,,,
Pest,die,Sg.,,,,
Pfeife,die,-n,,,,
Pfeil,der,-e,,,,
Pflanzensammlung,die,-en,,,,
Pflege,die,Sg.,,,,
Pflichtveranstaltung,die,-en,,,,
Phänomen,das,-,,,,
Phase,die,-n,,,,
Philosoph/in,der/die,-en/-nen,,,,
philosophisch,,,,,,
phrasieren,,,,,,
physikalisch,,,,,,
Physiker/in,der/die,-/-nen,,,,
Piktogramm,das,-e,,,,
Pipette,die,-n,,,,
plagen,,,,,,
Planet,der,-en,,,,
Plastiktüte,die,-n,,,,
platt,,,,,,
Platte,die,-n,,,,
Plattenfirma,die,-firmen,,,,
Platzproblem,das,-e,,,,
Plutonium,das,Sg.,,,,
poetisch,,,,,,
Pokal,der,-e,,,,
Politikwissenschaft,die,-en,,,,
Polizeimeister/in,der/die,-/-nen,,,,
Portemonnaie,das,-s,,,,
Position,die,-en,,,,
prägen,,,,,,
Praktikumsbörse,die,-n,,,,
Praktikumszeit,die,-en,,,,
Präsentation,die,-en,,,,
Präsentationssoftware,die,-s,,,,
Präsident/in,der/die,-en/-nen,,,,
Preis,der,-e,,,,
Preis,der,-e,,,,
preisen,,,pries,hat,gepriesen,
Preisvergleich,der,-e,,,,
Pressekonferenz,die,-en,,,,
Pressesprecher/in,der/die,-/-nen,,,,
Prinzip,das,-ien,,,,
prinzipiell,,,,,,
Privatauto,das,-s,,,,
Privatleben,das,Sg.,,,,
Privatsphäre,die,Sg.,,,,
Privatwohnung,die,-en,,,,
Proband/in,der/die,-en/-nen,,,,
Probe,die,-n,,,,
Probenraum,der,"""-e",,,,
problemlos,,,,,,
Problemlösung,die,-en,,,,
Produktbeschreibung,die,-en,,,,
Produzent/in,der/die,-en/-nen,,,,
Professur,die,-en,,,,
Profil,das,-e,,,,
Profimannschaft,die,-en,,,,
Prognose,die,-n,,,,
Programmankündigung,die,-en,,,,
Projektleitung,die,-en,,,,
Projektmanagement,das,-s,,,,
prominent,,,,,,
promovieren,,,,,,
Protestaktion,die,-en,,,,
Prüfer/in,der/die,-/-nen,,,,
Prüfungsangst,die,"""-e",,,,
Psyche,die,-n,,,,
Psychologe/Psychologin,der/die,-n/-nen,,,,
Pubertierende,der/die,-n,,,,
publizieren,,,,,,
Puffertag,der,-e,,,,
Puls,der,-e,,,,
Pulsschlag,der,"""-e",,,,
Pumpe,die,-n,,,,
Putzgewohnheit,die,-en,,,,
qualifizieren,,,,,,
qualitativ,,,,,,
Qualle,die,-n,,,,
Querschnittslähmung,die,-en,,,,
quietschen,,,,,,
Quiz,das,-,,,,
radioaktiv,,,,,,
Radiofeature,das,-s,,,,
Rahmen,der,-,,,,
Rand,der,"""-er",,,,
randalieren,,,,,,
rasant,,,,,,
rastlos,,,,,,
Rat,der,Sg.,,,,
Ratgebersendung,die,-en,,,,
ratsam,,,,,,
Rätsel,das,-,,,,
Ratte,die,-n,,,,
Rauchen,das,Sg.,,,,
Raumtemperatur,die,-en,,,,
Rauschen,das,Sg.,,,,
Reaktionszeit,die,-en,,,,
reaktivieren,,,,,,
realisieren,,,,,,
Rechenschaft,die,Sg.,,,,
Recherche,die,-n,,,,
rechnen,,,,,,
Rechnungsbetrag,der,"""-e",,,,
recht,,,,,,
